"","time_date","bis","entropy","emg","attack"
"1","06/21/2022 19:11:03","93.7","8.4","43.8",0
"2","06/21/2022 19:11:04","93.8","7.9","43.4",0
"3","06/21/2022 19:11:05","93.8","8.4","44.1",0
"4","06/21/2022 19:11:06","93.7","8.2","44.1",0
"5","06/21/2022 19:11:07","93.7","8.1","44",0
"6","06/21/2022 19:11:08","93.3","8","44.8",0
"7","06/21/2022 19:11:09","93.4","8.4","45.8",0
"8","06/21/2022 19:11:10","93.7","8.3","46.5",0
"9","06/21/2022 19:11:11","93.8","8.2","46.9",0
"10","06/21/2022 19:11:12","93.8","8.4","47.2",0
"11","06/21/2022 19:11:13","93.4","8.3","46.9",0
"12","06/21/2022 19:11:14","94","8.4","46.8",0
"13","06/21/2022 19:11:15","94.5","8.7","46.6",0
"14","06/21/2022 19:11:16","94.8","8.4","46.4",0
"15","06/21/2022 19:11:17","94.8","8","46.7",0
"16","06/21/2022 19:11:18","94.8","8.5","46.8",0
"17","06/21/2022 19:11:19","94.8","8","47.1",0
"18","06/21/2022 19:11:20","94.8","8.4","47.3",0
"19","06/21/2022 19:11:21","94.8","8.5","46.8",0
"20","06/21/2022 19:11:22","95.3","8.2","47",0
"21","06/21/2022 19:11:23","95.8","8.4","48.8",0
"22","06/21/2022 19:11:24","95.8","8.6","49.8",0
"23","06/21/2022 19:11:25","95.8","7.8","51.1",0
"24","06/21/2022 19:11:26","95.8","7.1","52.2",0
"25","06/21/2022 19:11:27","95.8","10.1","52.3",0
"26","06/21/2022 19:11:28","95.8","8.8","51.7",0
"27","06/21/2022 19:11:29","95.9","9.6","53.6",0
"28","06/21/2022 19:11:30","95.9","8.3","52.7",0
"29","06/21/2022 19:11:31","95.9","8.3","52.3",0
"30","06/21/2022 19:11:32","95.9","9.3","51.9",0
"31","06/21/2022 19:11:33","96.4","9.2","50.8",0
"32","06/21/2022 19:11:34","96.1","8.6","47.4",0
"33","06/21/2022 19:11:35","96.3","9","46.9",0
"34","06/21/2022 19:11:36","96","7.9","46.3",0
"35","06/21/2022 19:11:37","96.4","9.7","46.3",0
"36","06/21/2022 19:11:38","96.7","8.8","46",0
"37","06/21/2022 19:11:39","96.7","9.2","45.5",0
"38","06/21/2022 19:11:40","96.7","8.8","46.9",0
"39","06/21/2022 19:11:41","97","8.5","46.9",0
"40","06/21/2022 19:11:42","97","9.2","47",0
"41","06/21/2022 19:11:43","97","8.7","47.3",0
"42","06/21/2022 19:11:44","97","8.9","49.3",0
"43","06/21/2022 19:11:45","97","8.6","48.7",0
"44","06/21/2022 19:11:46","97","9.1","50.2",0
"45","06/21/2022 19:11:47","97.1","8.7","50.8",0
"46","06/21/2022 19:11:48","97.1","8","50.8",0
"47","06/21/2022 19:11:49","97.1","8.6","49.5",0
"48","06/21/2022 19:11:50","97.1","8.5","48.4",0
"49","06/21/2022 19:11:51","97.1","8.6","47.3",0
"50","06/21/2022 19:11:52","97.1","8.6","49.1",0
"51","06/21/2022 19:11:53","97.2","8.9","50.4",0
"52","06/21/2022 19:11:54","97.2","7","51.3",0
"53","06/21/2022 19:11:55","97.3","10","51.4",0
"54","06/21/2022 19:11:56","97.3","8.9","52",0
"55","06/21/2022 19:11:57","97.3","8.5","50.1",0
"56","06/21/2022 19:11:58","97.3","9.1","48.8",0
"57","06/21/2022 19:11:59","97.3","9.2","47.2",0
"58","06/21/2022 19:12:00","97.3","8.4","46.4",0
"59","06/21/2022 19:12:01","97.3","9.2","44.9",0
"60","06/21/2022 19:12:02","97.3","9.2","43.8",0
"61","06/21/2022 19:12:03","97.3","8.6","43.3",0
"62","06/21/2022 19:12:04","97.3","8.7","43.2",0
"63","06/21/2022 19:12:05","97.2","8.4","43",0
"64","06/21/2022 19:12:06","97.2","8.9","43.5",0
"65","06/21/2022 19:12:07","97.2","8.6","43.8",0
"66","06/21/2022 19:12:08","97.2","8.9","44.1",0
"67","06/21/2022 19:12:09","97.2","8.4","44.5",0
"68","06/21/2022 19:12:10","97.2","8.6","45.5",0
"69","06/21/2022 19:12:11","97.2","8.7","45.1",0
"70","06/21/2022 19:12:12","97.2","9","45.6",0
"71","06/21/2022 19:12:13","97.2","8.5","45.8",0
"72","06/21/2022 19:12:14","97.2","8.6","46.6",0
"73","06/21/2022 19:12:15","97.2","8.4","46.4",0
"74","06/21/2022 19:12:16","97.2","9","46.5",0
"75","06/21/2022 19:12:17","97.2","8.4","45.6",0
"76","06/21/2022 19:12:18","97.2","8.6","45.5",0
"77","06/21/2022 19:12:19","97.3","8.2","44.7",0
"78","06/21/2022 19:12:20","97.3","8.8","44.6",0
"79","06/21/2022 19:12:21","97.3","9.1","45.2",0
"80","06/21/2022 19:12:22","97.3","8.5","45.8",0
"81","06/21/2022 19:12:23","97.3","8.8","46.4",0
"82","06/21/2022 19:12:24","97.3","8.6","46.9",0
"83","06/21/2022 19:12:25","97.3","8.4","47.3",0
"84","06/21/2022 19:12:26","97.3","8.3","47.7",0
"85","06/21/2022 19:12:27","97.3","9.2","47.3",0
"86","06/21/2022 19:12:28","97.3","9.2","47.3",0
"87","06/21/2022 19:12:29","97.3","9.2","46.9",0
"88","06/21/2022 19:12:30","97.3","8.8","47.2",0
"89","06/21/2022 19:12:31","97.3","9.5","45.7",0
"90","06/21/2022 19:12:32","97.2","9.1","46.2",0
"91","06/21/2022 19:12:33","97.1","9.1","46.3",0
"92","06/21/2022 19:12:34","97","9","46.3",0
"93","06/21/2022 19:12:35","97","8.6","46.1",0
"94","06/21/2022 19:12:36","97.1","9.1","46.4",0
"95","06/21/2022 19:12:37","97","8.9","45.7",0
"96","06/21/2022 19:12:38","96.4","9.2","44",0
"97","06/21/2022 19:12:39","96.1","8.9","43.5",0
"98","06/21/2022 19:12:40","95.8","8.8","43.7",0
"99","06/21/2022 19:12:41","96.3","8.7","44.8",0
"100","06/21/2022 19:12:42","96.1","8.7","46.1",0
"101","06/21/2022 19:12:43","96.1","9.1","48.9",0
"102","06/21/2022 19:12:44","96","8.8","50.3",0
"103","06/21/2022 19:12:45","96","10.4","49",0
"104","06/21/2022 19:12:46","96","8.6","48.4",0
"105","06/21/2022 19:12:47","96.1","9.2","47.8",0
"106","06/21/2022 19:12:48","95.9","9.2","46",0
"107","06/21/2022 19:12:49","96.3","8.9","44.9",0
"108","06/21/2022 19:12:50","96.3","8.6","47.7",0
"109","06/21/2022 19:12:51","96.3","8.8","51.2",0
"110","06/21/2022 19:12:52","96.3","9.2","54.7",0
"111","06/21/2022 19:12:53","96.3","11","55.5",0
"112","06/21/2022 19:12:54","96.3","8.8","56",0
"113","06/21/2022 19:12:55","96.3","8.7","54.3",0
"114","06/21/2022 19:12:56","96.3","8.9","51.2",0
"115","06/21/2022 19:12:57","96.2","8.5","48.1",0
"116","06/21/2022 19:12:58","96.6","8.8","47.4",0
"117","06/21/2022 19:12:59","96.5","8.2","46.3",0
"118","06/21/2022 19:13:00","96.4","8.8","45.9",0
"119","06/21/2022 19:13:01","96.7","9","45.5",0
"120","06/21/2022 19:13:02","96.3","8.6","45",0
"121","06/21/2022 19:13:03","95.9","9.3","45",0
"122","06/21/2022 19:13:04","95.8","8.7","45.3",0
"123","06/21/2022 19:13:05","95.7","8.8","44.9",0
"124","06/21/2022 19:13:06","96.2","8.9","44.8",0
"125","06/21/2022 19:13:07","96.2","8.7","43.8",0
"126","06/21/2022 19:13:08","96.2","9","43.8",0
"127","06/21/2022 19:13:09","96.2","9.2","43.6",0
"128","06/21/2022 19:13:10","95.9","9.3","44.1",0
"129","06/21/2022 19:13:11","95.7","8.9","43.8",0
"130","06/21/2022 19:13:12","96.3","8.5","44.7",0
"131","06/21/2022 19:13:13","96.1","9.4","44.8",0
"132","06/21/2022 19:13:14","96.4","8.7","45.3",0
"133","06/21/2022 19:13:15","96.4","8.9","44.9",0
"134","06/21/2022 19:13:16","96","8.9","45.7",0
"135","06/21/2022 19:13:17","95.6","9","45.8",0
"136","06/21/2022 19:13:18","95.7","8.7","44.9",0
"137","06/21/2022 19:13:19","95.6","9.4","44.8",0
"138","06/21/2022 19:13:20","95.6","8.5","44.8",0
"139","06/21/2022 19:13:21","95.6","8.5","44.2",0
"140","06/21/2022 19:13:22","95.8","8.7","43.8",0
"141","06/21/2022 19:13:23","96","8.8","44.1",0
"142","06/21/2022 19:13:24","96.2","8.8","44.2",0
"143","06/21/2022 19:13:25","95.9","9","44.3",0
"144","06/21/2022 19:13:26","95.7","9.1","44.3",0
"145","06/21/2022 19:13:27","95.7","8.6","44.4",0
"146","06/21/2022 19:13:28","95.7","8.9","44.3",0
"147","06/21/2022 19:13:29","95.7","8.6","44.7",0
"148","06/21/2022 19:13:30","95.7","8.9","44.7",0
"149","06/21/2022 19:13:31","96","9.2","44.6",0
"150","06/21/2022 19:13:32","95.7","8.8","45",0
"151","06/21/2022 19:13:33","95.7","8.8","45",0
"152","06/21/2022 19:13:34","95.7","8.7","45.1",0
"153","06/21/2022 19:13:35","95.7","9.1","45.4",0
"154","06/21/2022 19:13:36","95.7","9","45.5",0
"155","06/21/2022 19:13:37","95.7","8.9","45.1",0
"156","06/21/2022 19:13:38","95.7","8.2","45.6",0
"157","06/21/2022 19:13:39","95.7","8.9","45.3",0
"158","06/21/2022 19:13:40","94.9","8.9","45.2",0
"159","06/21/2022 19:13:41","94.8","8.3","45.9",0
"160","06/21/2022 19:13:42","94.7","8.8","45.6",0
"161","06/21/2022 19:13:43","94.7","8.9","45.4",0
"162","06/21/2022 19:13:44","94.7","8.4","45.5",0
"163","06/21/2022 19:13:45","94.8","8.6","45.7",0
"164","06/21/2022 19:13:46","94.7","8.7","44.6",0
"165","06/21/2022 19:13:47","94.7","8.8","45",0
"166","06/21/2022 19:13:48","94.7","8.9","45.1",0
"167","06/21/2022 19:13:49","94.5","8.7","44.7",0
"168","06/21/2022 19:13:50","93.9","8.8","44.3",0
"169","06/21/2022 19:13:51","93.8","8.6","44.6",0
"170","06/21/2022 19:13:52","93.8","9.1","44.7",0
"171","06/21/2022 19:13:53","93.6","9","44.7",0
"172","06/21/2022 19:13:54","93.7","9","45",0
"173","06/21/2022 19:13:55","93.7","8.8","45",0
"174","06/21/2022 19:13:56","93.7","8.9","44.7",0
"175","06/21/2022 19:13:57","93.6","9","44.8",0
"176","06/21/2022 19:13:58","93.2","9","45.4",0
"177","06/21/2022 19:13:59","93.4","8.8","45.4",0
"178","06/21/2022 19:14:00","93.2","8.9","45.4",0
"179","06/21/2022 19:14:01","93.2","8.8","46",0
"180","06/21/2022 19:14:02","93.2","9","46",0
"181","06/21/2022 19:14:03","93.3","8.8","45.2",0
"182","06/21/2022 19:14:04","93.6","8.7","45",0
"183","06/21/2022 19:14:05","93.2","8.5","44.8",0
"184","06/21/2022 19:14:06","93","8.6","44.3",0
"185","06/21/2022 19:14:07","92","8.7","43.8",0
"186","06/21/2022 19:14:08","91.3","8.9","43.7",0
"187","06/21/2022 19:14:09","91","8.5","43.6",0
"188","06/21/2022 19:14:10","91.7","8.8","44.1",0
"189","06/21/2022 19:14:11","91.7","8.6","45.1",0
"190","06/21/2022 19:14:12","91.9","9.1","45.1",0
"191","06/21/2022 19:14:13","91.9","8.7","46",0
"192","06/21/2022 19:14:14","91.9","9.5","46.1",0
"193","06/21/2022 19:14:15","91.9","8.1","46.4",0
"194","06/21/2022 19:14:16","91.9","9.3","46.1",0
"195","06/21/2022 19:14:17","91.7","8.6","45.8",0
"196","06/21/2022 19:14:18","91.9","9.5","44.7",0
"197","06/21/2022 19:14:19","92.6","8.6","45.7",0
"198","06/21/2022 19:14:20","93","8.9","46",0
"199","06/21/2022 19:14:21","93.4","8.7","45.3",0
"200","06/21/2022 19:14:22","93.4","8.9","45.9",0
"201","06/21/2022 19:14:23","93.4","8.9","46.2",0
"202","06/21/2022 19:14:24","93.5","8.8","44.7",0
"203","06/21/2022 19:14:25","93.3","9.3","44.1",0
"204","06/21/2022 19:14:26","93.3","8.8","43.9",0
"205","06/21/2022 19:14:27","93","8.7","43.1",0
"206","06/21/2022 19:14:28","93.2","9","42.3",0
"207","06/21/2022 19:14:29","93.3","9.1","42.2",0
"208","06/21/2022 19:14:30","93.4","9","41.5",0
"209","06/21/2022 19:14:31","93.5","8.6","41.9",0
"210","06/21/2022 19:14:32","93.5","8.8","42.7",0
"211","06/21/2022 19:14:33","93.5","9.1","42.8",0
"212","06/21/2022 19:14:34","93.9","8.7","43.1",0
"213","06/21/2022 19:14:35","93.9","8.8","44.2",0
"214","06/21/2022 19:14:36","93.9","9","44.2",0
"215","06/21/2022 19:14:37","94.3","8.9","44.2",0
"216","06/21/2022 19:14:38","94.2","8.8","44.5",0
"217","06/21/2022 19:14:39","94.4","8.9","44.9",0
"218","06/21/2022 19:14:40","94.4","8.6","44.3",0
"219","06/21/2022 19:14:41","94.2","9.2","44.7",0
"220","06/21/2022 19:14:42","93.7","9","44.5",0
"221","06/21/2022 19:14:43","93.5","8.6","44.5",0
"222","06/21/2022 19:14:44","93.5","8.9","44.3",0
"223","06/21/2022 19:14:45","93","9","44.3",0
"224","06/21/2022 19:14:46","93","8.7","43.6",0
"225","06/21/2022 19:14:47","93","9","43.3",0
"226","06/21/2022 19:14:48","93","8.7","43.2",0
"227","06/21/2022 19:14:49","93","8.8","43",0
"228","06/21/2022 19:14:50","92.6","9","42.9",0
"229","06/21/2022 19:14:51","93","8.7","43.2",0
"230","06/21/2022 19:14:52","92.3","9","43.5",0
"231","06/21/2022 19:14:53","91.9","8.5","43.6",0
"232","06/21/2022 19:14:54","92.2","8.9","43.5",0
"233","06/21/2022 19:14:55","92.3","8.7","43.7",0
"234","06/21/2022 19:14:56","91.8","8.7","43.8",0
"235","06/21/2022 19:14:57","92","8.9","43.6",0
"236","06/21/2022 19:14:58","92.7","9.3","43.7",0
"237","06/21/2022 19:14:59","92.7","8.8","44.3",0
"238","06/21/2022 19:15:00","92.8","9.2","44.1",0
"239","06/21/2022 19:15:01","93.1","9.3","43.8",0
"240","06/21/2022 19:15:02","92.7","9","43.9",0
"241","06/21/2022 19:15:03","92.4","9.1","43.9",0
"242","06/21/2022 19:15:04","92.4","9.2","43.3",0
"243","06/21/2022 19:15:05","92.7","8.7","43.2",0
"244","06/21/2022 19:15:06","92.7","9.1","43.9",0
"245","06/21/2022 19:15:07","92.7","8.9","44",0
"246","06/21/2022 19:15:08","93","8.9","44.3",0
"247","06/21/2022 19:15:09","93","9","44.8",0
"248","06/21/2022 19:15:10","93","8.9","45.7",0
"249","06/21/2022 19:15:11","93","8.8","45.3",0
"250","06/21/2022 19:15:12","93","9.2","45",0
"251","06/21/2022 19:15:13","93","8.9","44.5",0
"252","06/21/2022 19:15:14","93","9.1","44.1",0
"253","06/21/2022 19:15:15","93.1","8.8","43.5",0
"254","06/21/2022 19:15:16","92.6","8.8","44.1",0
"255","06/21/2022 19:15:17","92.7","9.3","44.7",0
"256","06/21/2022 19:15:18","92.7","8.8","45.1",0
"257","06/21/2022 19:15:19","92.2","8.5","45.8",0
"258","06/21/2022 19:15:20","92.2","9.1","46.1",0
"259","06/21/2022 19:15:21","92.2","9","45.6",0
"260","06/21/2022 19:15:22","92.6","9.1","45.3",0
"261","06/21/2022 19:15:23","93","8.8","44.9",0
"262","06/21/2022 19:15:24","92.8","8.9","44.8",0
"263","06/21/2022 19:15:25","91.8","9","44.5",0
"264","06/21/2022 19:15:26","92.1","8.9","45",0
"265","06/21/2022 19:15:27","93.7","9","45",0
"266","06/21/2022 19:15:28","93.7","9.2","45.1",0
"267","06/21/2022 19:15:29","93.7","8.8","44.7",0
"268","06/21/2022 19:15:30","93.7","9.3","44.8",0
"269","06/21/2022 19:15:31","93.7","9.2","44.3",0
"270","06/21/2022 19:15:32","94","9.6","44.3",0
"271","06/21/2022 19:15:33","94.2","8.7","44.4",0
"272","06/21/2022 19:15:34","94.2","9.3","44.8",0
"273","06/21/2022 19:15:35","94.5","8.8","44.4",0
"274","06/21/2022 19:15:36","93.4","8.8","44.8",0
"275","06/21/2022 19:15:37","93.4","9.3","45.8",0
"276","06/21/2022 19:15:38","93.5","8.9","46.8",0
"277","06/21/2022 19:15:39","93.7","8.9","46.7",0
"278","06/21/2022 19:15:40","94.6","8.9","47.6",0
"279","06/21/2022 19:15:41","94.6","8.9","48.5",0
"280","06/21/2022 19:15:42","94.6","8.8","47.5",0
"281","06/21/2022 19:15:43","94","8.7","47.9",0
"282","06/21/2022 19:15:44","95","9.4","48.1",0
"283","06/21/2022 19:15:45","95.2","9.1","50.5",0
"284","06/21/2022 19:15:46","95.2","8.7","51.3",0
"285","06/21/2022 19:15:47","95.2","8.7","52.6",0
"286","06/21/2022 19:15:48","95.2","8.6","55",0
"287","06/21/2022 19:15:49","95.2","9.2","57.6",0
"288","06/21/2022 19:15:50","95.2","8.4","56.8",0
"289","06/21/2022 19:15:51","95.2","10.4","58",0
"290","06/21/2022 19:15:52","95.2","7.7","58.6",0
"291","06/21/2022 19:15:53","95.2","10.7","57.1",0
"292","06/21/2022 19:15:54","95.2","8.8","56.3",0
"293","06/21/2022 19:15:55","95.2","9.4","56.6",0
"294","06/21/2022 19:15:56","96.2","8.7","54.8",0
"295","06/21/2022 19:15:57","96.9","6.1","53.7",0
"296","06/21/2022 19:15:58","96.9","9.2","52.5",0
"297","06/21/2022 19:15:59","97.1","8.6","51.1",0
"298","06/21/2022 19:16:00","96.9","9.5","49.1",0
"299","06/21/2022 19:16:01","96.7","9.2","47.5",0
"300","06/21/2022 19:16:02","97","9","46.8",0
"301","06/21/2022 19:16:03","97","8.9","46.4",0
"302","06/21/2022 19:16:04","97.1","9.2","45.9",0
"303","06/21/2022 19:16:05","97.1","8.9","45.7",0
"304","06/21/2022 19:16:06","97.3","8.6","45.8",0
"305","06/21/2022 19:16:07","97.3","9","45.6",0
"306","06/21/2022 19:16:08","97.3","9","45.1",0
"307","06/21/2022 19:16:09","97.3","9.1","45.3",0
"308","06/21/2022 19:16:10","97.3","8.9","45.4",0
"309","06/21/2022 19:16:11","97.2","9.1","46",0
"310","06/21/2022 19:16:12","97.1","9.1","46.3",0
"311","06/21/2022 19:16:13","96.9","8.6","47.5",0
"312","06/21/2022 19:16:14","96.6","8.8","47.9",0
"313","06/21/2022 19:16:15","96.6","8.4","48.5",0
"314","06/21/2022 19:16:16","96.6","8.5","48.4",0
"315","06/21/2022 19:16:17","96.6","8.8","49.4",0
"316","06/21/2022 19:16:18","96.6","8.8","50.6",0
"317","06/21/2022 19:16:19","96.3","9.7","50.9",0
"318","06/21/2022 19:16:20","96.4","9.6","50.3",0
"319","06/21/2022 19:16:21","97","9.2","50.7",0
"320","06/21/2022 19:16:22","97.1","8.7","49.9",0
"321","06/21/2022 19:16:23","97.1","9.3","47.8",0
"322","06/21/2022 19:16:24","97.1","8.9","46.6",0
"323","06/21/2022 19:16:25","97","8.8","46.2",0
"324","06/21/2022 19:16:26","96.9","9.2","45.5",0
"325","06/21/2022 19:16:27","96.9","9","44.5",0
"326","06/21/2022 19:16:28","96.9","9.1","44.8",0
"327","06/21/2022 19:16:29","96.6","9.5","45.2",0
"328","06/21/2022 19:16:30","96.6","9.3","45.5",0
"329","06/21/2022 19:16:31","96.7","9.2","45.6",0
"330","06/21/2022 19:16:32","96.9","8.7","46.3",0
"331","06/21/2022 19:16:33","96.5","9.2","46",0
"332","06/21/2022 19:16:34","96.2","9.4","45.5",0
"333","06/21/2022 19:16:35","95.8","9.4","45.5",0
"334","06/21/2022 19:16:36","95.5","9.2","45.5",0
"335","06/21/2022 19:16:37","95.4","9","45.5",0
"336","06/21/2022 19:16:38","95.4","8.7","45.3",0
"337","06/21/2022 19:16:39","95.5","9.1","45.7",0
"338","06/21/2022 19:16:40","95.9","9","45.2",0
"339","06/21/2022 19:16:41","95.8","9.2","44.7",0
"340","06/21/2022 19:16:42","95","9","44.4",0
"341","06/21/2022 19:16:43","95","9.4","44.6",0
"342","06/21/2022 19:16:44","95","9.1","44.6",0
"343","06/21/2022 19:16:45","95","9.1","44.6",0
"344","06/21/2022 19:16:46","95.3","8.8","45",0
"345","06/21/2022 19:16:47","95.3","8.9","44.8",0
"346","06/21/2022 19:16:48","95.3","9.6","44.5",0
"347","06/21/2022 19:16:49","95.4","9","44",0
"348","06/21/2022 19:16:50","95.2","9","44.4",0
"349","06/21/2022 19:16:51","95.3","9.3","44.1",0
"350","06/21/2022 19:16:52","95.3","9.2","44.6",0
"351","06/21/2022 19:16:53","95.7","9","44.6",0
"352","06/21/2022 19:16:54","95.9","9.6","45.5",0
"353","06/21/2022 19:16:55","95.3","8.9","44.7",0
"354","06/21/2022 19:16:56","94.9","9.7","45",0
"355","06/21/2022 19:16:57","94.2","9.2","44.8",0
"356","06/21/2022 19:16:58","94.3","9.3","44.9",0
"357","06/21/2022 19:16:59","93.8","9.6","44.6",0
"358","06/21/2022 19:17:00","93.9","9.1","45.2",0
"359","06/21/2022 19:17:01","93.9","9.4","45.4",0
"360","06/21/2022 19:17:02","93.4","9.4","45.3",0
"361","06/21/2022 19:17:03","93.9","9.5","45.4",0
"362","06/21/2022 19:17:04","93.6","9.3","45.4",0
"363","06/21/2022 19:17:05","93.8","8.8","45.5",0
"364","06/21/2022 19:17:06","93.8","9.4","45.4",0
"365","06/21/2022 19:17:07","93.8","9.3","45",0
"366","06/21/2022 19:17:08","93.7","8.9","45.4",0
"367","06/21/2022 19:17:09","93.4","9","45.4",0
"368","06/21/2022 19:17:10","93.1","9.2","45.4",0
"369","06/21/2022 19:17:11","92.9","9.3","45.6",0
"370","06/21/2022 19:17:12","92.6","9","45.5",0
"371","06/21/2022 19:17:13","91.8","8.9","45.4",0
"372","06/21/2022 19:17:14","91.9","9.2","45.2",0
"373","06/21/2022 19:17:15","92.1","9.5","44.5",0
"374","06/21/2022 19:17:16","92.1","9.4","44.7",0
"375","06/21/2022 19:17:17","92.6","9","45.1",0
